Change Component Designator: Old Designator=C1 New Designator=C?
Change Component Designator: Old Designator=J3 New Designator=J?
Change Component Designator: Old Designator=J4 New Designator=J?
Change Component Designator: Old Designator=U1 New Designator=U?
Change Component Designator: Old Designator=U1 New Designator=U?
Change Component Designator: Old Designator=U1 New Designator=U?
Change Component Designator: Old Designator=U1 New Designator=U?
Change Component Designator: Old Designator=U3 New Designator=U?
Change Component Designator: Old Designator=U3 New Designator=U?
Change Component Designator: Old Designator=U3 New Designator=U?
Change Component Designator: Old Designator=U3 New Designator=U?
